French,English
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
tiens,here
matin,morning
enfant,child
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
jouer,to play
bureau,office
